Age,N,E,U,UN,UE,NU,NE,EU,EN,EE,Wage,Tax,Equilibrium
33,0.00029124000737536563,0.00115813084524174,8.205465158274014e-05,0.10666879278038512,0.25936025377506083,0.04920087714765493,0.09529800690741978,0.01325550551327481,0.02728133182547494,0.024552550563011654,0.6777337461633962,0.1,General
34,0.0002749469914198044,0.001177140190918069,7.642297951582333e-05,0.10755871273201512,0.2602706900667651,0.047165670701271194,0.09474288353469562,0.012499942634885096,0.025268509927891664,0.023613307785476437,0.6954257142152745,0.1,General
35,0.0002623016860196725,0.001191294551516508,7.177719384526619e-05,0.10623428384459377,0.2608659315793514,0.04783678460963611,0.0945570688881502,0.01183597168075412,0.02365037279670204,0.022726288520094885,0.7124937837043027,0.1,General
36,0.00024176387015131755,0.0012037145236627645,7.65206096686381e-05,0.09678443198519848,0.25036345169623936,0.05142818390509651,0.09325697225325554,0.01163873294759129,0.021867577401108607,0.021985101084759377,0.7279114126616859,0.1,General
37,0.00022876016522812223,0.0012156508310285947,7.395845203361232e-05,0.09535300114025054,0.24878215088775632,0.049416467727558366,0.09244871872294451,0.011432581160682959,0.02034374070109431,0.021311363103497894,0.7413740767409495,0.1,General
38,0.00022203035842091332,0.0012233145633427224,6.912123010438885e-05,0.09650397201771699,0.25684857002789707,0.04707732175101478,0.09143972118103032,0.011028078584951006,0.019384626702495068,0.020758977333075263,0.7546168389203284,0.1,General
39,0.00021792603200873942,0.0012272379792278136,6.510524009438164e-05,0.09769454851351252,0.2585092220512601,0.04522065444774865,0.09035234722925939,0.010638589628964239,0.018770415278649023,0.020181058939324804,0.7673260390515115,0.1,General
40,0.00021618962111109334,0.0012277485906911497,6.181935757764929e-05,0.09860695157009115,0.2591087189326873,0.04354211528903665,0.08856330935413663,0.010171458587511945,0.018275902994373306,0.019656646423054074,0.7792931233753556,0.1,General
41,0.00021540295209096784,0.0012255341326384483,5.9971463575000265e-05,0.09709709082858486,0.25749746210114527,0.04328187176611859,0.08610311294483514,0.009821023370939817,0.017866422387149392,0.019144275934231934,0.790221199809353,0.1,General
42,0.00021348231249479065,0.0012213278504746084,6.0888020781017874e-05,0.09306437976035536,0.25205866885855194,0.042804399700128226,0.08289769566127805,0.009640025488139064,0.01747683856314045,0.018683935038627454,0.7998764664028228,0.1,General
43,0.00021611558761326608,0.0012146897892714077,5.929558293825649e-05,0.09346600476924057,0.25023696502811943,0.04091684629570764,0.080042269254985,0.009460590650206482,0.01722136804379366,0.018231898903427725,0.8084571499401831,0.1,General
44,0.00022022909604671502,0.0012060059533108185,5.785473757872174e-05,0.09430776391182356,0.24877989789855737,0.03874636432349633,0.07738866136240337,0.00928714022067306,0.01710613852382777,0.017832398469897866,0.8158038810064673,0.1,General
45,0.00022648906759010056,0.00119490129763696,5.624557832130558e-05,0.0954020009647627,0.24759851153788368,0.03650253027186356,0.07436590049611393,0.00909634793790527,0.017136750437941994,0.01744466647871843,0.8221340726317655,0.1,General
46,0.00023470859499254365,0.0011812883528957297,5.471207300786838e-05,0.0961022987090764,0.24616735679874005,0.034414428232096485,0.0712835663058118,0.008924813903105889,0.017286645600225376,0.0170750691219242,0.8274222443662382,0.1,General
47,0.0002448019172293176,0.0011652159406810713,5.3259017061246356e-05,0.09726223153016196,0.24477330163376318,0.03260579825578457,0.0682758813787694,0.00877200831280881,0.017562927987600126,0.01673648592566503,0.8316124209024737,0.1,General
48,0.0002560527070080407,0.0011470051488984528,5.2247730733520436e-05,0.098754060275302,0.24263443859463066,0.030268131826349663,0.06542247328318221,0.008679732020016599,0.017915305897357237,0.01643108236055403,0.8345851247669374,0.1,General
49,0.0002699372038525358,0.0011263341894603982,5.0488040133968206e-05,0.09977355458706272,0.24177340779497,0.028269641104133297,0.06234800522201906,0.008458329831371585,0.018448273095941468,0.016153774933529045,0.8364862339173599,0.1,General
50,0.0002856176624855269,0.0011026024459758418,4.9380765804054764e-05,0.1013030834183893,0.23969564375068222,0.026407755312262953,0.05904627693223482,0.008386599273145534,0.01900717829005278,0.015869918437457296,0.8375552469890207,0.1,General
51,0.00030314015281765293,0.0010762240989022809,4.842629718808673e-05,0.10285211810962412,0.23766177546347247,0.024653250640089636,0.056197087000296346,0.008304322230987935,0.019793185188615916,0.01561660952774826,0.8376206465809304,0.1,General
52,0.00032346752164667364,0.001046470404747218,4.7349371310513956e-05,0.10517301547299086,0.23517180713746166,0.022874627930740365,0.05300229205599155,0.008260627086377027,0.020587264670380002,0.015365637366126209,0.8368970613223773,0.1,General
53,0.0003463579362630851,0.0010138455904191677,4.5844678377007986e-05,0.10687042465914083,0.23299405726077063,0.02111402023958231,0.05009892379793828,0.00810409672964674,0.02171709958912357,0.015145001957162818,0.8352284529384977,0.1,General
54,0.0003712011541230635,0.0009776482672626317,4.517925325939117e-05,0.10896070309266219,0.22795770636080567,0.01965072451824826,0.047442920232873366,0.00803333560055031,0.022993524231689502,0.01489198804435835,0.8329468248530386,0.1,General
55,0.0003995936886510442,0.0009380112843841054,4.357755568493627e-05,0.11294573379955097,0.22609613088673722,0.018296664780658875,0.04480724943707195,0.007864434994065786,0.024643045249984997,0.01470133555479055,0.8299612320169311,0.1,General
56,0.0004315276259600066,0.0008947846878634861,4.114984067006336e-05,0.12044808347465812,0.2261165452169658,0.016655045326243255,0.042505162848321065,0.007749741048261583,0.02642368147061243,0.014568772933240555,0.8264549830165743,0.1,General
57,0.0004638602824303989,0.000849034641367901,3.9923769608487104e-05,0.12229797711383665,0.2237213826824012,0.015493337035372394,0.04004121193021232,0.00776396174704119,0.028327197998357822,0.014484952243423421,0.8217367806881254,0.1,General
58,0.000498152577665068,0.0008005342050695278,3.8515493757557274e-05,0.12614925993948364,0.2211683497597442,0.014185445933631259,0.03757276098861137,0.0077361635228084084,0.030526139611108477,0.014395399738516597,0.8161009889448905,0.1,General
59,0.0005349301021779902,0.000748499718030051,3.713250163441875e-05,0.12987773706712102,0.2169447239309852,0.01320419121351755,0.03535012842836872,0.00769921110291556,0.03329479756778484,0.014286401770126215,0.8104050207209288,0.1,General
60,0.0005737521692240729,0.0006937936850395214,3.530204429547495e-05,0.13647947084445328,0.2133975244444977,0.012039778813358234,0.03337277610676682,0.007518330807733265,0.03633384871485525,0.014238874499244283,0.8041001192505322,0.1,General
61,0.0006135390415337215,0.0006378735636919393,3.2595562788103015e-05,0.14128321801049898,0.21299221634947688,0.010931429364934374,0.03147833689576851,0.007532822308171559,0.03992070533987336,0.014314452723068596,0.7965761659334873,0.1,General
62,0.0006535514380605328,0.0005795512135199621,3.089024906631908e-05,0.14682012329842584,0.2092132326244995,0.009991716033129877,0.029378270106429807,0.007487564047690596,0.0439181861930971,0.014354928425695085,0.7891056537249858,0.1,General
63,0.0006937254140391846,0.000520412190595725,2.861548511820805e-05,0.15449342419205195,0.20530896791330863,0.008982046658971921,0.027576400293657845,0.007400589743229048,0.048741720963737634,0.014508856281248025,0.7810723232271792,0.1,General
64,0.0007331547713731573,0.00046114777350680507,2.5939115520773184e-05,0.1611629408269922,0.20308654849245575,0.00803517675902538,0.025850634497978697,0.007355224068634082,0.05432899386761212,0.014739707976423863,0.7723394994195173,0.1,General
65,0.0007702737405876392,0.00040228596717319386,2.385458930318635e-05,0.16541562744565802,0.19908538370835605,0.00727690293982142,0.023999479542785904,0.0073710955926110594,0.06077192642444806,0.015037367055206955,0.7633337847704352,0.1,General
66,0.0008054168867279734,0.00034508692240889767,2.0726566443033396e-05,0.1770505412594571,0.19526087663929137,0.0062375369673270354,0.022408820833401066,0.007253685307599285,0.06863904088204838,0.015416444195578909,0.7535580836241206,0.1,General
67,0.0008357706805292795,0.0002902946816920964,1.8588658829209506e-05,0.18185165196035816,0.19071341921477195,0.005546077879402493,0.020731552683118406,0.00725222216504461,0.077932470448776,0.01596862858869043,0.7433426347209586,0.1,General
68,0.0008623769749075598,0.00023879812287617424,1.5480192827576552e-05,0.19376951044957694,0.1862971359416131,0.004621165500684691,0.019037247908330987,0.007132167520981245,0.08905213901124472,0.01656975892561586,0.7325933767725984,0.1,General
69,0.0008823000996644862,0.0001917641860525514,1.3147201709870045e-05,0.20029541269834453,0.18086502709380506,0.0039067285687276005,0.01743463635612353,0.007006351221084911,0.10283787396207757,0.017456689227673353,0.7206408155321004,0.1,General
70,0.0008965148313581896,0.0001493212873280485,1.0472478858485041e-05,0.20887330319917677,0.17357449700651598,0.0031754862603404215,0.015675237224585647,0.006827840807980185,0.11937835995437567,0.01839098930451617,0.7087143347722646,0.1,General
